authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR.x,linkLT.x,authorDOB,authorGender,authorAge,authorRace,authorNationality,linkGR.y,linkLT.y,countGR,ratingGR,countLT,ratingLT
Vinge,Vernor,Rainbows End,2006,400,2007,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/102439.Rainbows_End,http://www.librarything.com/work/356695/book/121649021,1944,Male,61,White,American,https://www.goodreads.com/book/show/102439.Rainbows_End,http://www.librarything.com/work/356695/book/121649021,15330,3.77,2555,3.56
Walker,Alice,The Color Purple,1982,295,1983,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/11486.The_Color_Purple,http://www.librarything.com/work/283/book/26544045,1944,Female,37,Black,American,https://www.goodreads.com/book/show/11486.The_Color_Purple,http://www.librarything.com/work/283/book/26544045,484379,4.2,15420,4.13
Walton,Jo,Tooth and Claw,2003,304,2004,World Fantasy Award,World Fantasy Convention,Juried,Novel,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/344623.Tooth_and_Claw,http://www.librarything.com/work/60313,1964,Female,38,White,English,https://www.goodreads.com/book/show/344623.Tooth_and_Claw,http://www.librarything.com/work/60313,4421,3.86,1108,3.8699999999999997
Walton,Jo,Among Others,2011,304,2012,Hugo Award,World SF Society,Popular,Novel,YA,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/8706185-among-others,http://www.librarything.com/work/7960634/book/140983329,1964,Female,46,White,English,https://www.goodreads.com/book/show/8706185-among-others,http://www.librarything.com/work/7960634/book/140983329,21100,3.69,2359,3.96
Walton,Jo,Among Others,2011,304,2012,Nebula Award,SFF Writers of America,Popular,Novel,YA,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/8706185-among-others,http://www.librarything.com/work/7960634/book/140983329,1964,Female,46,White,English,https://www.goodreads.com/book/show/8706185-among-others,http://www.librarything.com/work/7960634/book/140983329,21100,3.69,2359,3.96
Walton,Jo,My Real Children,2014,336,2014,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/18490637-my-real-children,http://www.librarything.com/work/14333492/book/153516120,1964,Female,49,White,English,https://www.goodreads.com/book/show/18490637-my-real-children,http://www.librarything.com/work/14333492/book/153516120,5430,3.78,664,3.8899999999999997
Warren,Robert Penn,All the King's Men,1946,439,1947,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/5527.All_the_King_s_Men,http://www.librarything.com/work/35392/book/24622697,1905,Male,40,White,American,https://www.goodreads.com/book/show/5527.All_the_King_s_Men,http://www.librarything.com/work/35392/book/24622697,53666,4.09,5891,4.109999999999999
Welty,Eudora,The Optimist's Daughter,1972,180,1973,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/12585.The_Optimist_s_Daughter,http://www.librarything.com/work/18292/book/136919228,1909,Female,62,White,American,https://www.goodreads.com/book/show/12585.The_Optimist_s_Daughter,http://www.librarything.com/work/18292/book/136919228,9883,3.5,2116,3.52
Wharton,Edith,The Age of Innocence,1920,332,1921,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence,http://www.librarything.com/work/2237/book/64301302,1862,Female,57,White,American,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence,http://www.librarything.com/work/2237/book/64301302,133539,3.95,11068,4.02
Whitehead,Colson,The Underground Railroad,2016,306,2017,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/30555488-the-underground-railroad,http://www.librarything.com/work/17491306/book/158531711,1969,Male,46,Black,American,https://www.goodreads.com/book/show/30555488-the-underground-railroad,http://www.librarything.com/work/17491306/book/158531711,251881,4.02,4789,4.06
