authorLast,authorFirst,bookTitle,pubYear,pageCount,listName,listRank,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,ratingGR,countLT,ratingLT
Bellow,Saul,The Adventures of Augie March,1953,608,Modern Library Board,81,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11908.The_Adventures_of_Augie_March,http://www.librarything.com/work/7836/book/52377840,1915,Male,37,White,Canadian,15909,3.84,3078,3.88
Bennett,Arnold,The Old Wives' Tale,1908,538,Modern Library Board,87,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/188454.The_Old_Wives_Tale,http://www.librarything.com/work/58156/book/87207593,1867,Male,40,White,English,3862,3.82,1273,3.8899999999999997
Bowen,Elizabeth,The Death of the Heart,1938,432,Modern Library Board,84,Novel,Adult,English,Romance,Female,Primary,https://www.goodreads.com/book/show/91494.The_Death_of_the_Heart,http://www.librarything.com/work/104468/book/87207664,1899,Female,38,White,Irish,6105,3.69,1357,3.79
Bowles,Paul,The Sheltering Sky,1949,352,Modern Library Board,97,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/243598.The_Sheltering_Sky,http://www.librarything.com/work/70629/book/64302760,1910,Male,38,White,American,23260,3.91,3503,3.84
Bowles,Paul,The Sheltering Sky,1949,352,Modern Library Readers,92,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/243598.The_Sheltering_Sky,http://www.librarything.com/work/70629/book/64302760,1910,Male,38,White,American,23260,3.91,3503,3.84
Bowles,Paul,The Sheltering Sky,1949,352,American Book Review,83,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/243598.The_Sheltering_Sky,http://www.librarything.com/work/70629/book/64302760,1910,Male,38,White,American,23260,3.91,3503,3.84
Bradbury,Ray,Fahrenheit 451,1953,249,Modern Library Readers,77,Novel,YA,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/13079982-fahrenheit-451,http://www.librarything.com/work/4248/book/11714726,1920,Male,32,White,American,1480712,3.98,40083,4.03
Bradbury,Ray,Something Wicked This Way Comes,1962,304,Modern Library Readers,65,Novel,YA,English,Horror,Male,Primary,https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes,http://www.librarything.com/work/3397/book/22131052,1920,Male,41,White,American,89152,3.94,8484,3.98
Burgess,Anthony,A Clockwork Orange,1962,192,Modern Library Board,65,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,http://www.librarything.com/work/1473/book/11716978,1917,Male,44,White,English,548348,3.99,20620,4.01
Burgess,Anthony,A Clockwork Orange,1962,192,Modern Library Readers,55,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,http://www.librarything.com/work/1473/book/11716978,1917,Male,44,White,English,548348,3.99,20620,4.01
Burgess,Anthony,A Clockwork Orange,1962,192,American Book Review,79,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,http://www.librarything.com/work/1473/book/11716978,1917,Male,44,White,English,548348,3.99,20620,4.01
Burroughs,William S.,Naked Lunch,1959,308,Modern Library Readers,80,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/7437.Naked_Lunch,http://www.librarything.com/work/5852/book/16589987,1914,Male,44,White,American,71980,3.46,9326,3.53
Burroughs,William S.,Nova Express,1964,190,American Book Review,8,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/23931.Nova_Express,http://www.librarything.com/work/23087/book/50184078,1914,Male,49,White,American,2710,3.68,882,3.55
Burroughs,William S.,The Soft Machine,1961,184,American Book Review,8,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/23937.The_Soft_Machine,http://www.librarything.com/work/67955/book/25964588,1914,Male,46,White,American,6412,3.35,1223,3.38
Burroughs,William S.,The Ticket that Exploded,1962,192,American Book Review,8,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/600506.The_Ticket_That_Exploded,http://www.librarything.com/work/82169/book/64294423,1914,Male,47,White,American,2123,3.63,802,3.54
Butler,Samuel,The Way of All Flesh,1903,320,Modern Library Board,12,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/126512.The_Way_of_All_Flesh,http://www.librarything.com/work/11895/book/24406204,1835,Male,67,White,English,8055,3.61,2874,3.54
Cain,James M.,The Postman Always Rings Twice,1934,128,Modern Library Board,98,Novel,Adult,English,Mystery,Male,Primary,https://www.goodreads.com/book/show/25807.The_Postman_Always_Rings_Twice,http://www.librarything.com/work/12504/book/26005453,1892,Male,41,White,American,28483,3.8,2620,3.73
Caldwell,Erskine,Tobacco Road,1932,192,Modern Library Board,91,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/59091.Tobacco_Road,http://www.librarything.com/work/147778/book/55690406,1903,Male,28,White,American,13259,3.73,1258,3.38
Card,Orson Scott,Ender's Game,1985,352,Modern Library Readers,59,Novel,YA,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/375802.Ender_s_Game,http://www.librarything.com/work/825739,1951,Male,33,White,American,1035015,4.3,33266,4.33
Carver,Raymond,What We Talk About When We Talk About Love,1981,176,American Book Review,62,Stories,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11438.What_We_Talk_About_When_We_Talk_About_Love,http://www.librarything.com/work/3621/book/21671396,1938,Male,42,White,American,42097,4.18,3039,4.1499999999999995
Cather,Willa,Death Comes for the Archbishop,1927,300,Modern Library Board,61,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/545951.Death_Comes_for_the_Archbishop,http://www.librarything.com/work/11813/book/87206013,1873,Female,53,White,American,27861,3.9,4515,4.01
Cather,Willa,My Antonia,1918,256,Modern Library Readers,94,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/17150.My_ntonia,http://www.librarything.com/work/4834/book/87211076,1873,Female,44,White,American,113827,3.78,10905,3.92
