authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,countLT,ratingLT,ratingGR
Stegner,Wallace,Angle of Repose,1971,569,1972,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Western,Male,Primary,https://www.goodreads.com/book/show/292408.Angle_of_Repose,http://www.librarything.com/work/16878/book/87207822,1909,Male,61,White,American,48618,4469,4.2700000000000005,4.27
Steinbeck,John,The Grapes of Wrath,1939,479,1940,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,http://www.librarything.com/work/8488/book/24581077,1902,Male,36,White,American,687304,26991,4.14,3.96
Stephenson,Neal,The Diamond Age,1995,512,1996,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/827.The_Diamond_Age,http://www.librarything.com/work/12987/book/17167957,1959,Male,35,White,American,76542,9522,4.109999999999999,4.19
Stribling,T.S.,The Store,1932,592,1933,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/274607.The_Store,http://www.librarything.com/work/1251985/book/175319916,1881,Male,50,White,American,580,97,3.69,3.73
Strout,Elizabeth,Olive Kitteridge,2008,270,2009,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/1736739.Olive_Kitteridge,http://www.librarything.com/work/10112735/book/157950933,1956,Female,51,White,American,133740,7530,3.9099999999999997,3.82
Styron,William,The Confessions of Nat Turner,1967,453,1968,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/577283.The_Confessions_of_Nat_Turner,http://www.librarything.com/work/7336/book/87208404,1925,Male,41,White,American,13615,2219,3.94,3.97
Sulway,Nike,Rupetta,2013,331,2013,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/17252752-rupetta,http://www.librarything.com/work/13520684/book/153522003,1968,Female,44,White,Australian,177,67,4,3.89
Swanwick,Michael,Stations of the Tide,1991,256,1992,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/243859.Stations_of_the_Tide,http://www.librarything.com/work/49113/book/141552732,1950,Male,40,White,American,2221,668,3.74,3.7
Tarkington,Booth,The Magnificent Ambersons,1918,258,1919,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/127028.The_Magnificent_Ambersons,http://www.librarything.com/work/83427/book/87206995,1869,Male,48,White,American,9624,1293,3.8499999999999996,3.76
Tarkington,Booth,Alice Adams,1921,268,1922,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/525818.Alice_Adams,http://www.librarything.com/work/143395/book/175319859,1869,Male,51,White,American,3921,407,3.61,3.63
